Task Name,Category,Earliest Subtask End Date,End Date,Latest Subtask End Date,Milestone,Notes,Parent Task,Priority,Start Date,Status,Subtasks,Task Role
Brand Storytelling Pillars,Messaging,,"July 22, 2025",,,Align with conservation values and public language,Brand Strategy Framework (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Brand%20Strategy%20Framework%202322a8cd575580eb9575dfc525909b52.md),High,"July 16, 2025",Not started,,Subtask
Communications Plan,Strategy,"August 2, 2025,July 18, 2025,July 17, 2025,August 3, 2025,July 25, 2025",,"Aug 12, 2025",🎯 Strategic Milestones,Includes Brand + Website milestones,,Medium,"July 10, 2025",In progress,"QA and publish (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/QA%20and%20publish%202322a8cd57558082a6c8d1bcafb321d6.md), Map content cadence to key dates (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Map%20content%20cadence%20to%20key%20dates%202322a8cd5755804097ded650cca3e47c.md), Draft campaign messaging pillars (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Draft%20campaign%20messaging%20pillars%202322a8cd575580268fdedb201c85a3e1.md), Sync internal communications calendar (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Sync%20internal%20communications%20calendar%202322a8cd575580b3b003c76014283840.md), Set Engagement KPIs (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Set%20Engagement%20KPIs%202322a8cd575580f1bde7f16642ca62bc.md)",Parent Task
Rebuild Homepage Wireframe,Website,,"July 31, 2025",,,Apply modular layout with storytelling CTA blocks,Website Overhaul (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Website%20Overhaul%202322a8cd575580b3a7dff15efa901e94.md),High,"July 20, 2025",Not started,,Subtask
Website Overhaul,Website,"July 16, 2025,July 21, 2025,August 5, 2025,August 2, 2025,July 23, 2025,July 23, 2025,July 20, 2025,July 28, 2025,July 23, 2025",,"Aug 14, 2025",🚀 Launch Milestones,"Track all content, UX, and dev work",,High,"July 15, 2025",In progress,"User test layout (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/User%20test%20layout%202322a8cd575580e6b76fc6a275e91400.md), Design templates (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Design%20templates%202322a8cd5755803580dfd14f7c30c37f.md), Audit current homepage (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Audit%20current%20homepage%202322a8cd575580089351eeb093ed8fa9.md), Align with development milestones (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Align%20with%20development%20milestones%202322a8cd575580ea8e1cca44eb437ea9.md), Design template library (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Design%20template%20library%202322a8cd575580b09760e026bcbde4f5.md), Modular Content Blocks
 (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Modular%20Content%20Blocks%202322a8cd57558092b530c6c7b37c1b4c.md), Rebuild Homepage Wireframe (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Rebuild%20Homepage%20Wireframe%202322a8cd57558072b9fbe0e8f4ecac7d.md), Roll out across platforms (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Roll%20out%20across%20platforms%202322a8cd575580cb8655f6f89de261f2.md), Test form submissions (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Test%20form%20submissions%202322a8cd575580b0b329f9d89e80adb5.md)",Parent Task
Brand Strategy Framework,Strategy,"July 16, 2025",,"Jul 22, 2025",🎯 Strategic Milestones,Develop top-level brand strategy outline,,Medium,"July 15, 2025",In progress,Brand Storytelling Pillars (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Brand%20Storytelling%20Pillars%202322a8cd57558025a426ee53fef5bf1a.md),Parent Task
Set Engagement KPIs,Strategy,,,,,Define benchmarks for campaign impact,Communications Plan (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Communications%20Plan%202322a8cd57558057958af2cf755b6b2a.md),Medium,"July 25, 2025",Not started,,Subtask
Visual Identity System,Brand,"July 24, 2025,August 4, 2025,August 2, 2025,August 2, 2025,July 20, 2025,July 23, 2025,August 5, 2025,July 16, 2025,July 18, 2025","August 5, 2025","Aug 9, 2025",Ready To Launch,"Complete development of brand system including typography, logo variants, iconography, and usage guidelines. Sets visual tone for all outward-facing materials.
",,High,"July 20, 2025",In progress,"Finalize color palette (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Finalize%20color%20palette%202322a8cd57558083b67cead219cf6978.md), Define typography scale (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Define%20typography%20scale%202322a8cd5755807ca762ee6cfba2e6f1.md), Create icon set (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Create%20icon%20set%202322a8cd575580b19504f4758b9750a5.md), Document brand guidelines (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Document%20brand%20guidelines%202322a8cd575580eeb145d38381f65c41.md), Test visual applications (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Test%20visual%20applications%202322a8cd5755803fac73c72dbcf9f6dc.md), Finalize logo and system (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Finalize%20logo%20and%20system%202322a8cd5755800d8ae6dee8aaebfbe8.md), Conduct brand audit (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Conduct%20brand%20audit%202322a8cd575580968751f6f2bd0bb2b3.md), Define brand personality (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Define%20brand%20personality%202322a8cd57558070970adb2114d689e9.md), Train team on updates (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Train%20team%20on%20updates%202322a8cd57558047b79ced52f47ccd48.md)",Parent Task
"Modular Content Blocks
",Website,,"August 9, 2025",,,Develop a reusable content system in WordPress. Establish visual and functional patterns (cards,Website Overhaul (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Website%20Overhaul%202322a8cd575580b3a7dff15efa901e94.md),,"July 23, 2025",In progress,,Subtask
Supporter Funnel Strategy,Messaging,"July 24, 2025,July 22, 2025","July 13, 2025","Jul 30, 2025",Ready To Launch,Define identity-based supporter journeys. Align messaging and CTAs across donor types and design landing pages that drive engagement and giving behavior.,,High,"July 25, 2025",Not started,"Segment audiences by behavior (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Segment%20audiences%20by%20behavior%202322a8cd575580b6b85cc29f35172aab.md), Design entry points and CTAs (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Design%20entry%20points%20and%20CTAs%202322a8cd57558077ba45f11e2bc3c792.md)",Parent Task
Salesforce Integration,CRM,"July 18, 2025","August 13, 2025","Jul 21, 2025",🧩 Phase 2 / Post-Launch,"Integrate task tracker, membership flows, and donation forms with Salesforce. Test API-based sync for custom forms, automations, and campaign tracking.",,Medium,"July 22, 2025",Not started,Configure flows (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Configure%20flows%202322a8cd575580ca91c8de12b3226c90.md),Parent Task
