Task Name,Task Role,Status,Start Date,End Date,Category,Priority,Notes,Parent Task,Subtasks,Earliest Subtask End Date,Latest Subtask End Date,Milestone
Brand Strategy Framework,Parent Task,In progress,"July 15, 2025",,Strategy,Medium,Develop top-level brand strategy outline,,Brand Storytelling Pillars (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Brand%20Storytelling%20Pillars%202322a8cd57558025a426ee53fef5bf1a.md),"July 16, 2025","Jul 22, 2025",🎯 Strategic Milestones
Website Overhaul,Parent Task,In progress,"July 15, 2025",,Website,High,"Track all content, UX, and dev work",,"User test layout (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/User%20test%20layout%202322a8cd575580e6b76fc6a275e91400.md), Design templates (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Design%20templates%202322a8cd5755803580dfd14f7c30c37f.md), Audit current homepage (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Audit%20current%20homepage%202322a8cd575580089351eeb093ed8fa9.md), Align with development milestones (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Align%20with%20development%20milestones%202322a8cd575580ea8e1cca44eb437ea9.md), Design template library (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Design%20template%20library%202322a8cd575580b09760e026bcbde4f5.md), Modular Content Blocks
 (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Modular%20Content%20Blocks%202322a8cd57558092b530c6c7b37c1b4c.md), Rebuild Homepage Wireframe (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Rebuild%20Homepage%20Wireframe%202322a8cd57558072b9fbe0e8f4ecac7d.md), Roll out across platforms (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Roll%20out%20across%20platforms%202322a8cd575580cb8655f6f89de261f2.md), Test form submissions (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Test%20form%20submissions%202322a8cd575580b0b329f9d89e80adb5.md)","July 16, 2025,July 21, 2025,August 5, 2025,August 2, 2025,July 23, 2025,July 23, 2025,July 20, 2025,July 28, 2025,July 23, 2025","Aug 14, 2025",🚀 Launch Milestones
Communications Plan,Parent Task,In progress,"July 10, 2025",,Strategy,Medium,Includes Brand + Website milestones,,"QA and publish (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/QA%20and%20publish%202322a8cd57558082a6c8d1bcafb321d6.md), Map content cadence to key dates (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Map%20content%20cadence%20to%20key%20dates%202322a8cd5755804097ded650cca3e47c.md), Draft campaign messaging pillars (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Draft%20campaign%20messaging%20pillars%202322a8cd575580268fdedb201c85a3e1.md), Sync internal communications calendar (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Sync%20internal%20communications%20calendar%202322a8cd575580b3b003c76014283840.md), Set Engagement KPIs (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Set%20Engagement%20KPIs%202322a8cd575580f1bde7f16642ca62bc.md)","August 2, 2025,July 18, 2025,July 17, 2025,August 3, 2025,July 25, 2025","Aug 12, 2025",🎯 Strategic Milestones
Visual Identity System,Parent Task,In progress,"July 20, 2025","August 5, 2025",Brand,High,"Complete development of brand system including typography, logo variants, iconography, and usage guidelines. Sets visual tone for all outward-facing materials.
",,"Finalize color palette (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Finalize%20color%20palette%202322a8cd57558083b67cead219cf6978.md), Define typography scale (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Define%20typography%20scale%202322a8cd5755807ca762ee6cfba2e6f1.md), Create icon set (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Create%20icon%20set%202322a8cd575580b19504f4758b9750a5.md), Document brand guidelines (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Document%20brand%20guidelines%202322a8cd575580eeb145d38381f65c41.md), Test visual applications (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Test%20visual%20applications%202322a8cd5755803fac73c72dbcf9f6dc.md), Finalize logo and system (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Finalize%20logo%20and%20system%202322a8cd5755800d8ae6dee8aaebfbe8.md), Conduct brand audit (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Conduct%20brand%20audit%202322a8cd575580968751f6f2bd0bb2b3.md), Define brand personality (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Define%20brand%20personality%202322a8cd57558070970adb2114d689e9.md), Train team on updates (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Train%20team%20on%20updates%202322a8cd57558047b79ced52f47ccd48.md)","July 24, 2025,August 4, 2025,August 2, 2025,August 2, 2025,July 20, 2025,July 23, 2025,August 5, 2025,July 16, 2025,July 18, 2025","Aug 9, 2025",Ready To Launch
Supporter Funnel Strategy,Parent Task,Not started,"July 25, 2025","July 13, 2025",Messaging,High,Define identity-based supporter journeys. Align messaging and CTAs across donor types and design landing pages that drive engagement and giving behavior.,,"Segment audiences by behavior (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Segment%20audiences%20by%20behavior%202322a8cd575580b6b85cc29f35172aab.md), Design entry points and CTAs (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Design%20entry%20points%20and%20CTAs%202322a8cd57558077ba45f11e2bc3c792.md)","July 24, 2025,July 22, 2025","Jul 30, 2025",Ready To Launch
Salesforce Integration,Parent Task,Not started,"July 22, 2025","August 13, 2025",CRM,Medium,"Integrate task tracker, membership flows, and donation forms with Salesforce. Test API-based sync for custom forms, automations, and campaign tracking.",,Configure flows (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Configure%20flows%202322a8cd575580ca91c8de12b3226c90.md),"July 18, 2025","Jul 21, 2025",🧩 Phase 2 / Post-Launch
Video Strategy,Parent Task,Not started,"July 24, 2025","August 12, 2025",Brand,Medium,"Plan, script, and schedule short-form videos to support key campaigns (e.g., Bear Creek, Little Sturgeon, annual appeal). Include internal video standards, timelines, and post-production workflow.",,"Revise and finalize (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Revise%20and%20finalize%202322a8cd575580618df5f5ae48244c5c.md), Define data model (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Define%20data%20model%202322a8cd575580b687fcf6fd8e39ccfd.md), Create field mappings (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Create%20field%20mappings%202322a8cd57558036bcffdebb73a6a995.md), Identify key video goals (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Identify%20key%20video%20goals%202322a8cd57558025b9a2dff84ab280e0.md), Write video briefs (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Write%20video%20briefs%202322a8cd575580af8bd0fdc5d3268861.md), Coordinate shoot schedule (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Coordinate%20shoot%20schedule%202322a8cd57558040960af1aca4caf1e3.md), Edit and review drafts (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Edit%20and%20review%20drafts%202322a8cd5755807bb6afdbbcfac1fb08.md), Publish and promote (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Publish%20and%20promote%202322a8cd575580028e06c09ae266821c.md)","July 29, 2025,August 5, 2025,August 3, 2025,July 19, 2025,July 24, 2025,August 5, 2025,July 21, 2025,July 27, 2025","Aug 13, 2025",Ready To Launch
,,,,,,,,,,,,
Brand Storytelling Pillars,Subtask,Not started,"July 16, 2025","July 22, 2025",Messaging,High,Align with conservation values and public language,Brand Strategy Framework (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Brand%20Strategy%20Framework%202322a8cd575580eb9575dfc525909b52.md),,,,
Rebuild Homepage Wireframe,Subtask,Not started,"July 20, 2025","July 31, 2025",Website,High,Apply modular layout with storytelling CTA blocks,Website Overhaul (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Website%20Overhaul%202322a8cd575580b3a7dff15efa901e94.md),,,,
